image_path,label
../data/train/images/image_0.png,[1. 0.]
../data/train/images/image_1.png,[1. 0.]
../data/train/images/image_2.png,[1. 0.]
../data/train/images/image_3.png,[1. 0.]
../data/train/images/image_4.png,[0. 1.]
../data/train/images/image_5.png,[1. 0.]
../data/train/images/image_6.png,[0. 1.]
../data/train/images/image_7.png,[1. 0.]
../data/train/images/image_8.png,[1. 0.]
../data/train/images/image_9.png,[0. 1.]
../data/train/images/image_10.png,[1. 0.]
../data/train/images/image_11.png,[0. 1.]
../data/train/images/image_12.png,[1. 0.]
../data/train/images/image_13.png,[1. 0.]
../data/train/images/image_14.png,[1. 0.]
../data/train/images/image_15.png,[1. 0.]
../data/train/images/image_16.png,[1. 0.]
../data/train/images/image_17.png,[0. 1.]
../data/train/images/image_18.png,[0. 1.]
../data/train/images/image_19.png,[1. 0.]
../data/train/images/image_20.png,[1. 0.]
../data/train/images/image_21.png,[0. 1.]
../data/train/images/image_22.png,[1. 0.]
../data/train/images/image_23.png,[0. 1.]
../data/train/images/image_24.png,[0. 1.]
../data/train/images/image_25.png,[1. 0.]
../data/train/images/image_26.png,[0. 1.]
../data/train/images/image_27.png,[0. 1.]
../data/train/images/image_28.png,[1. 0.]
../data/train/images/image_29.png,[1. 0.]
../data/train/images/image_30.png,[1. 0.]
../data/train/images/image_31.png,[0. 1.]
../data/train/images/image_32.png,[0. 1.]
../data/train/images/image_33.png,[1. 0.]
../data/train/images/image_34.png,[0. 1.]
../data/train/images/image_35.png,[1. 0.]
../data/train/images/image_36.png,[0. 1.]
../data/train/images/image_37.png,[1. 0.]
../data/train/images/image_38.png,[0. 1.]
../data/train/images/image_39.png,[1. 0.]
../data/train/images/image_40.png,[1. 0.]
../data/train/images/image_41.png,[1. 0.]
../data/train/images/image_42.png,[1. 0.]
../data/train/images/image_43.png,[0. 1.]
../data/train/images/image_44.png,[0. 1.]
../data/train/images/image_45.png,[1. 0.]
../data/train/images/image_46.png,[1. 0.]
../data/train/images/image_47.png,[0. 1.]
../data/train/images/image_48.png,[1. 0.]
../data/train/images/image_49.png,[0. 1.]
../data/train/images/image_50.png,[1. 0.]
../data/train/images/image_51.png,[1. 0.]
../data/train/images/image_52.png,[0. 1.]
../data/train/images/image_53.png,[0. 1.]
../data/train/images/image_54.png,[1. 0.]
../data/train/images/image_55.png,[1. 0.]
../data/train/images/image_56.png,[1. 0.]
../data/train/images/image_57.png,[1. 0.]
../data/train/images/image_58.png,[0. 1.]
../data/train/images/image_59.png,[1. 0.]
../data/train/images/image_60.png,[0. 1.]
../data/train/images/image_61.png,[0. 1.]
../data/train/images/image_62.png,[1. 0.]
../data/train/images/image_63.png,[0. 1.]
../data/train/images/image_64.png,[1. 0.]
../data/train/images/image_65.png,[0. 1.]
../data/train/images/image_66.png,[0. 1.]
../data/train/images/image_67.png,[0. 1.]
../data/train/images/image_68.png,[0. 1.]
../data/train/images/image_69.png,[0. 1.]
../data/train/images/image_70.png,[0. 1.]
../data/train/images/image_71.png,[0. 1.]
../data/train/images/image_72.png,[0. 1.]
../data/train/images/image_73.png,[0. 1.]
../data/train/images/image_74.png,[1. 0.]
../data/train/images/image_75.png,[0. 1.]
../data/train/images/image_76.png,[1. 0.]
../data/train/images/image_77.png,[0. 1.]
../data/train/images/image_78.png,[0. 1.]
../data/train/images/image_79.png,[1. 0.]
../data/train/images/image_80.png,[0. 1.]
../data/train/images/image_81.png,[0. 1.]
../data/train/images/image_82.png,[0. 1.]
../data/train/images/image_83.png,[1. 0.]
../data/train/images/image_84.png,[1. 0.]
../data/train/images/image_85.png,[0. 1.]
../data/train/images/image_86.png,[1. 0.]
../data/train/images/image_87.png,[0. 1.]
../data/train/images/image_88.png,[0. 1.]
../data/train/images/image_89.png,[0. 1.]
../data/train/images/image_90.png,[1. 0.]
../data/train/images/image_91.png,[1. 0.]
../data/train/images/image_92.png,[1. 0.]
../data/train/images/image_93.png,[0. 1.]
../data/train/images/image_94.png,[0. 1.]
../data/train/images/image_95.png,[0. 1.]
../data/train/images/image_96.png,[1. 0.]
../data/train/images/image_97.png,[0. 1.]
